iter	Passed	Remaining
0	131	131836
1	132	66165
2	133	44275
3	133	33321
4	134	26747
5	135	22365
6	135	19229
7	136	16876
8	136	15045
9	137	13580
10	137	12383
11	138	11384
12	138	10540
13	139	9817
14	139	9188
15	140	8639
16	141	8155
17	141	7724
18	142	7337
19	142	6990
20	143	6676
21	143	6392
22	144	6132
23	144	5893
24	145	5672
25	145	5466
26	146	5279
27	147	5105
28	147	4941
29	148	4789
30	148	4647
31	149	4514
32	149	4388
33	150	4269
34	150	4157
35	151	4051
36	151	3952
37	152	3857
38	152	3767
39	153	3682
40	153	3601
41	154	3524
42	155	3450
43	155	3380
44	156	3312
45	156	3248
46	157	3186
47	157	3127
48	158	3071
49	158	3017
50	159	2965
51	160	2917
52	160	2871
53	161	2825
54	161	2781
55	162	2737
56	162	2695
57	163	2655
58	164	2615
59	164	2577
60	165	2541
61	165	2505
62	166	2471
63	166	2437
64	167	2405
65	167	2373
66	168	2343
67	168	2310
68	169	2281
69	169	2253
70	170	2226
71	170	2200
72	171	2173
73	171	2148
74	172	2123
75	172	2100
76	173	2077
77	173	2054
78	174	2033
79	174	2011
80	175	1990
81	175	1970
82	176	1950
83	177	1930
84	177	1909
85	177	1891
86	178	1871
87	178	1853
88	179	1835
89	179	1818
90	180	1802
91	180	1786
92	181	1770
93	182	1754
94	182	1739
95	183	1725
96	183	1710
97	184	1695
98	184	1681
99	185	1668
100	185	1654
101	186	1638
102	186	1625
103	187	1612
104	187	1600
105	188	1588
106	188	1576
107	189	1564
108	189	1552
109	190	1541
110	191	1530
111	191	1519
112	192	1507
113	192	1496
114	193	1486
115	193	1475
116	194	1465
117	194	1455
118	195	1444
119	195	1434
120	196	1425
121	196	1415
122	197	1404
123	197	1395
124	198	1386
125	198	1377
126	199	1368
127	199	1358
128	199	1350
129	200	1341
130	200	1333
131	201	1325
132	202	1316
133	202	1309
134	203	1301
135	203	1293
136	204	1285
137	204	1277
138	205	1270
139	205	1263
140	206	1256
141	206	1248
142	207	1241
143	207	1234
144	208	1227
145	208	1221
146	209	1214
147	209	1207
148	210	1201
149	210	1195
150	211	1188
151	211	1182
152	212	1176
153	212	1170
154	213	1164
155	214	1158
156	214	1152
157	215	1146
158	215	1140
159	216	1135
160	216	1129
161	217	1123
162	217	1118
163	218	1113
164	218	1107
165	219	1102
166	219	1096
167	220	1091
168	220	1086
169	221	1081
170	222	1076
171	222	1071
172	223	1066
173	223	1061
174	224	1056
175	224	1051
176	225	1047
177	225	1042
178	226	1037
179	226	1033
180	227	1027
181	227	1022
182	228	1018
183	228	1014
184	229	1009
185	229	1005
186	230	1001
187	230	997
188	231	993
189	231	988
190	232	984
191	233	980
192	233	976
193	234	972
194	234	968
195	235	964
196	235	960
197	236	956
198	236	952
199	237	948
200	237	945
201	238	941
202	238	937
203	239	933
204	239	930
205	240	926
206	240	922
207	241	919
208	241	915
209	242	912
210	242	908
211	243	905
212	244	901
213	244	898
214	245	894
215	245	891
216	246	888
217	246	884
218	247	881
219	247	878
220	248	874
221	248	871
222	249	868
223	249	865
224	250	861
225	250	858
226	251	855
227	251	852
228	252	849
229	252	846
230	253	843
231	253	840
232	254	837
233	254	834
234	255	831
235	255	828
236	256	825
237	256	822
238	257	819
239	258	817
240	258	814
241	259	811
242	259	809
243	260	806
244	260	803
245	261	800
246	261	798
247	262	795
248	262	792
249	263	790
250	263	787
251	264	784
252	264	782
253	265	779
254	265	777
255	266	774
256	267	771
257	267	769
258	268	767
259	268	764
260	269	761
261	269	759
262	270	757
263	270	754
264	271	752
265	271	749
266	272	747
267	272	745
268	273	742
269	273	740
270	274	738
271	274	735
272	275	733
273	275	731
274	276	728
275	277	726
276	277	724
277	278	722
278	278	719
279	279	717
280	279	715
281	280	713
282	280	711
283	281	709
284	281	706
285	282	704
286	282	702
287	283	700
288	283	698
289	284	696
290	284	694
291	285	692
292	286	690
293	286	688
294	287	686
295	287	684
296	288	682
297	288	680
298	289	678
299	289	676
300	290	674
301	290	672
302	291	670
303	291	668
304	292	666
305	292	664
306	293	662
307	293	660
308	294	658
309	295	656
310	295	654
311	296	652
312	296	651
313	297	649
314	297	647
315	298	645
316	298	643
317	299	641
318	299	639
319	300	638
320	300	636
321	301	634
322	301	632
323	302	630
324	302	629
325	303	627
326	303	625
327	304	623
328	305	622
329	305	620
330	306	618
331	306	616
332	307	615
333	307	613
334	308	611
335	308	610
336	309	608
337	309	606
338	310	605
339	310	603
340	311	601
341	311	600
342	312	598
343	313	596
344	313	595
345	313	593
346	314	591
347	315	590
348	315	588
349	316	587
350	316	585
351	317	584
352	318	582
353	318	581
354	319	579
355	319	578
356	320	576
357	320	575
358	321	573
359	321	572
360	322	570
361	322	569
362	323	567
363	324	566
364	324	564
365	325	563
366	325	561
367	326	560
368	326	558
369	327	557
370	327	555
371	328	554
372	328	552
373	329	551
374	330	550
375	330	548
376	331	547
377	331	545
378	332	544
379	332	543
380	333	541
381	333	540
382	334	538
383	334	537
384	335	535
385	336	534
386	336	533
387	337	531
388	337	530
389	338	528
390	338	527
391	339	525
392	339	524
393	340	523
394	340	521
395	341	520
396	341	519
397	342	517
398	342	516
399	343	515
400	344	513
401	344	512
402	345	511
403	345	509
404	346	508
405	346	507
406	347	506
407	347	504
408	348	503
409	348	502
410	349	500
411	349	499
412	350	498
413	351	496
414	351	495
415	352	494
416	352	492
417	353	491
418	353	490
419	354	489
420	354	487
421	355	486
422	355	485
423	356	484
424	356	482
425	357	481
426	357	480
427	358	479
428	359	477
429	359	476
430	360	475
431	360	474
432	361	472
433	361	471
434	362	470
435	362	469
436	363	468
437	363	466
438	364	465
439	364	464
440	365	463
441	365	462
442	366	460
443	367	459
444	367	458
445	368	457
446	368	456
447	369	454
448	369	453
449	370	452
450	370	451
451	371	450
452	371	449
453	372	448
454	373	446
455	373	445
456	374	444
457	374	443
458	375	442
459	375	441
460	376	440
461	376	438
462	377	437
463	377	436
464	378	435
465	378	434
466	379	433
467	380	432
468	380	430
469	381	429
470	381	428
471	382	427
472	382	426
473	383	425
474	383	424
475	384	423
476	384	422
477	385	420
478	385	419
479	386	418
480	387	418
481	388	417
482	388	416
483	389	415
484	389	414
485	390	412
486	390	411
487	391	410
488	391	409
489	392	408
490	392	407
491	393	406
492	393	404
493	394	403
494	394	402
495	395	401
496	395	400
497	396	399
498	396	398
499	397	397
500	397	396
501	398	395
